# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.246464	1.158679378	1.59417332	0.04715201672	0.03455854735	0.03863457891	0.9268068737	0.02783868331	1.792526198e-05	7.877252111e-06	0.7465813783
1	0.55574	1.749534315	2.593452685	0.007206536764	0.009987530675	0.001656066467	0.9883564029	0.001118967361	4.867884087e-07	0.1095491601	0.1288961633
2	0.248276	1.158499672	1.597759548	0.04739233478	0.03477245192	0.03875916951	0.9264683786	0.02793861742	1.666431225e-05	9.492746561e-06	0.7443833443
3	0.556044	1.75619621	2.598236485	0.007335720311	0.0102137256	0.001656439472	0.9881298349	0.001119476239	4.975558302e-07	0.1116191161	0.1264056966
4	0.373756	1.197811839	1.75369988	0.08705618553	0.06579603415	0.06246452299	0.8717394429	0.04785177561	9.52549203e-13	9.978310631e-05	0.6340885686
5	0.582792	1.7395316	2.764058359	0.03672271741	0.05402904486	0.0052350223	0.9407359328	0.003716226114	2.133119093e-10	0.1381652178	0.07809291161
6	0.376708	1.200111173	1.760118706	0.08734527523	0.06620502941	0.06240531101	0.8713896596	0.04782560539	8.933356978e-13	0.0001235167617	0.6295963686
7	0.582904	1.740906048	2.766630698	0.03782935739	0.0559411981	0.005221009258	0.9388377926	0.003713771913	2.211357493e-10	0.1408897671	0.07547597004
8	0.259048	1.147946521	1.595949406	0.04791780165	0.03517589019	0.03880555765	0.9260185522	0.02798549099	1.249077163e-05	1.044779068e-05	0.7367276212
9	0.557204	1.737495092	2.535990362	0.00655832656	0.008731310123	0.001693205634	0.9895754842	0.001142650853	4.307912157e-07	0.09493790785	0.1479142181
10	0.260856	1.147868429	1.599906265	0.04816388513	0.03539371563	0.03893122205	0.9256750623	0.02808650321	1.162643809e-05	1.247800204e-05	0.7345668413
11	0.557216	1.741760841	2.538461538	0.006514989817	0.008708105279	0.001662694226	0.9896292005	0.001121999678	4.458874825e-07	0.09669713106	0.1459717679
12	0.39294	1.173534929	1.770374187	0.08940952673	0.06836378057	0.06254666279	0.8690895566	0.04806079358	3.133944196e-13	0.0001563220687	0.6111264015
13	0.587732	1.728195865	2.737607287	0.03327520934	0.04769544212	0.005243071751	0.9470614861	0.003697080888	1.664858967e-10	0.1273715562	0.08741256891
14	0.395284	1.176479327	1.776727273	0.08970812473	0.06878413035	0.06251885855	0.8686970111	0.04806113681	2.861059286e-13	0.0001895162843	0.6071518827
15	0.587788	1.733017378	2.738337425	0.0341473702	0.049212169	0.005221047809	0.9455667832	0.003687370611	1.769948891e-10	0.1300850684	0.08465051641
16	0.464336	1.42862171	2.032087067	0.03044258929	0.02622368428	0.01826598863	0.9555103271	0.01276612824	8.44712915e-08	0.002848988448	0.4671427789
17	0.615896	2.10731784	3.475212042	0.01427134317	0.02271814385	0.0002793292426	0.9770025269	0.0001911300553	8.643718797e-06	0.2025094958	0.01070091833
18	0.465536	1.422978734	2.035689945	0.03064857496	0.02655153752	0.01828787839	0.9551605841	0.01278610718	8.656535214e-08	0.003322107809	0.4622533667
19	0.615904	2.10300784	3.477579816	0.01428605716	0.0227521008	0.0002729472687	0.9769749519	0.000186776444	8.775451505e-06	0.2032746109	0.01045000193
20	0.531552	1.515854739	2.309550961	0.005116893234	0.005033100284	0.002441538712	0.992525361	0.001642757007	7.706396063e-11	0.01606524065	0.3317442141
21	0.637632	2.057319566	3.797280422	0.06321275696	0.09803232474	0.0007042096722	0.9012634656	0.0005218025888	5.173829242e-08	0.2057122952	0.006274880526
22	0.53266	1.5145543	2.314585628	0.005163477338	0.00513940281	0.002425923037	0.9924346742	0.001632399359	8.127578668e-11	0.01871172048	0.3240537823
23	0.637828	2.05805969	3.796094943	0.06609221856	0.1025234064	0.0006999192822	0.8967766743	0.0005212187197	5.274245042e-08	0.2067425487	0.005970485183
24	0.471432	1.417279247	2.029921578	0.03114947384	0.02691771702	0.01845960067	0.9546226823	0.01291343985	6.87596424e-08	0.002978867531	0.4600111307
25	0.616852	2.0815051	3.347585358	0.01066756432	0.01683133803	0.0002851197912	0.9828835422	0.0001938639911	8.352062053e-06	0.1935512132	0.01459126012
26	0.472684	1.425836768	2.034454803	0.03127694797	0.02714714901	0.01844492499	0.954407926	0.01290607686	6.765425336e-08	0.003395877925	0.456044092
27	0.616936	2.081459327	3.355919123	0.01089239799	0.01719507709	0.0002841359089	0.982520787	0.0001932758097	8.688230663e-06	0.1944319148	0.01424786835
28	0.541992	1.483658794	2.329799791	0.00529123401	0.005327233643	0.002403915993	0.9922688504	0.001617861183	7.062761766e-11	0.019233663	0.3100275821
29	0.641256	2.053337397	3.725121526	0.05303728714	0.08158342275	0.0007214278049	0.9176951494	0.0005249877688	4.648476074e-08	0.1995550637	0.007669934493
30	0.543792	1.49766861	2.341956346	0.005369887494	0.005464124469	0.00239854032	0.9921373352	0.001614457277	7.304778849e-11	0.02211594737	0.3028498603
31	0.64138	2.050061502	3.729805526	0.05548360268	0.08538953859	0.0007164604256	0.913894001	0.0005235418182	4.735631267e-08	0.2006733104	0.007286983615
32	0.343128	1.16123902	1.750081768	0.05603998005	0.04919169246	0.03916093299	0.9116473745	0.02868653729	8.048836357e-07	0.02485660616	0.551421863
33	0.570144	1.861930057	2.733539761	0.06161876083	0.1062095266	0.001064036497	0.8927264369	0.0007961064559	1.258557951e-06	0.2283885085	0.00897834072
34	0.3445	1.158806587	1.755933154	0.05647528292	0.05003608222	0.0392378526	0.9107260652	0.02877195694	7.361415964e-07	0.02693187182	0.5448085043
35	0.57132	1.883687552	2.750234102	0.07080328782	0.1219341436	0.001139872927	0.8769259835	0.0008682201082	1.222157651e-06	0.229155127	0.008385046594
36	0.467992	1.205242229	2.010356422	0.1322670662	0.1696666259	0.05286444259	0.7774689315	0.04540795469	1.340142479e-14	0.1096860968	0.2422501665
37	0.601784	1.828995673	2.973645101	0.2980666721	0.491565317	0.002250529338	0.5061841536	0.002969118638	6.437187929e-10	0.2300500196	0.004110653736
38	0.470168	1.207354498	2.019546733	0.1360278003	0.1770309715	0.05279350249	0.770175526	0.04577644769	1.138664113e-14	0.1139225603	0.2331245786
39	0.602452	1.827929798	2.986966352	0.3046093908	0.5019800959	0.002190478036	0.495829426	0.002950244633	6.526006181e-10	0.2304816124	0.003919842044
40	0.360264	1.1509581	1.76707902	0.05804929423	0.05206838257	0.03929093045	0.908640687	0.02887698392	4.303652471e-07	0.02795719459	0.5250258013
41	0.5765	1.830509604	2.70273003	0.0554232879	0.09415643934	0.001142100621	0.90470146	0.0008431377643	8.979332377e-07	0.2224702739	0.0107989094
42	0.361812	1.148610919	1.773200198	0.05860376053	0.05315279815	0.03937244033	0.9074747615	0.0289740659	3.864069726e-07	0.03037896796	0.5171751641
43	0.577552	1.852903819	2.711331469	0.05955266781	0.1011296045	0.001145062491	0.897725333	0.0008519029818	9.24641605e-07	0.2234142922	0.01009105801
