# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.665896	1.660440543	None	0.6658899156	0.9999908629	4.1701169e-19	9.137099945e-06	0.0004433284002	4.050772748e-09	0.5226115685	4.81195477e-19
1	0.66598	1.669274701	None	0.6659689456	0.9999834014	6.259232627e-19	1.659863657e-05	0.0003775499355	6.266918187e-09	0.5219586167	7.253993931e-19
2	0.649516	1.781294619	None	0.6494182208	0.9998494583	5.351521588e-14	0.0001505417086	0.0003546034812	5.339061573e-08	0.3625087993	5.514589472e-14
3	0.649704	1.777922345	None	0.6495202927	0.9997172446	7.047906258e-14	0.0002827554306	0.0002963726961	8.382464423e-08	0.3625804392	7.26413267e-14
4	0.676752	1.663236088	None	0.6767517957	0.9999996981	2.867215612e-17	3.018928101e-07	0.0004005428663	1.209210692e-10	0.5110226788	3.379681095e-17
5	0.676988	1.672938572	None	0.6769876548	0.9999994901	4.152061973e-17	5.099014407e-07	0.0003737466697	1.905740336e-10	0.5105257512	4.890837216e-17
6	0.665028	1.787666496	None	0.6650221291	0.9999911719	2.014550236e-12	8.828095903e-06	0.0002843974772	2.509365085e-09	0.3546443781	2.059798988e-12
7	0.665596	1.788614259	None	0.6655860551	0.9999850586	2.332648991e-12	1.494140222e-05	0.0002554615857	3.815453312e-09	0.354754728	2.385314515e-12
8	0.658516	1.697581425	None	0.6585029435	0.9999801729	1.580210087e-18	1.982708224e-05	0.0004223667002	8.374465108e-09	0.5123489314	1.823653916e-18
9	0.658508	1.708932033	None	0.6584842188	0.9999638863	2.234524484e-18	3.611369181e-05	0.0003595188714	1.298402281e-08	0.5118281587	2.653550237e-18
10	0.642896	1.825559801	None	0.6426878435	0.9996762206	2.033160528e-13	0.0003237794029	0.000333892713	1.081424617e-07	0.3557927052	2.081817731e-13
11	0.642864	1.832544759	None	0.6424863752	0.9994125899	2.637520843e-13	0.0005874101413	0.0002788825975	1.63914575e-07	0.3555826634	2.700799324e-13
12	0.670724	1.710953122	None	0.670723528	0.9999992963	1.762476758e-16	7.037319756e-07	0.0003817437065	2.686455344e-10	0.5000439208	2.058344672e-16
13	0.670788	1.718084937	None	0.6707872162	0.9999988315	2.453301639e-16	1.168474743e-06	0.0003533317643	4.128594211e-10	0.4996502099	2.864337451e-16
14	0.659004	1.859189885	None	0.6589902713	0.9999791675	8.60418195e-12	2.083252289e-05	0.0002693234483	5.605057877e-09	0.3481798877	8.74192291e-12
15	0.659244	1.846989899	None	0.6592220377	0.9999666857	1.083150548e-11	3.331433448e-05	0.000242495054	8.071596986e-09	0.3484103997	1.100753702e-11
16	0.684348	2.279137909	None	0.1184293575	0.1730542903	7.065643205e-15	0.8269457097	7.283561744e-06	3.480474317e-05	0.4923263633	4.736717121e-14
17	0.685236	2.290696702	None	0.125268638	0.1828109411	8.71852445e-15	0.8171890589	7.926279163e-06	3.543151502e-05	0.491667772	5.529709757e-14
18	0.677532	2.336380492	None	0.02280567261	0.03365991954	6.693033762e-13	0.9663400805	3.795262449e-06	0.0001089578889	0.3576361569	2.039021323e-11
19	0.678904	2.354732367	None	0.02639991085	0.0388860735	7.953583653e-13	0.9611139265	4.111432703e-06	0.0001016187633	0.3576952437	2.097517579e-11
20	0.70118	2.227305011	None	0.7006733516	0.9992774347	2.13237276e-13	0.0007225653362	0.000205078891	1.482899044e-07	0.4824312821	2.454511498e-13
21	0.701804	2.233477854	None	0.7012644974	0.9992312631	2.39132155e-13	0.0007687368961	0.0002078136723	1.598767809e-07	0.4819647903	2.751590674e-13
22	0.699924	2.270793037	None	0.6990117201	0.9986966014	5.301539045e-11	0.001303398578	0.0001970820589	2.571762745e-07	0.3513317662	5.410058351e-11
