# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.474904	None	None	2.747548158e-24	1.313184083e-24	2.123911784e-24	1	5.687177465e-22	0.7163898209	0.4429335141	1.768722838e-14
1	0.478072	None	None	2.757215187e-24	1.324015562e-24	2.124240419e-24	1	9.753217377e-22	0.7103634372	0.4427616746	1.635614598e-14
2	0.475344	None	None	2.749598029e-24	1.313251711e-24	2.125351707e-24	1	5.901011621e-22	0.7156207076	0.4421809883	1.717813494e-14
3	0.478532	None	None	2.759441292e-24	1.324665239e-24	2.125546585e-24	1	1.020751074e-21	0.7093565602	0.4420792205	1.622908437e-14
4	0.477608	None	None	2.758398577e-24	1.325831349e-24	2.125170918e-24	1	7.99314178e-21	0.7089218789	0.4422754155	1.898314904e-14
5	0.481296	None	None	2.768567728e-24	1.336122184e-24	2.125497465e-24	1	1.532431935e-20	0.7032985393	0.4421048698	1.723442233e-14
6	0.47814	None	None	2.760585032e-24	1.326163383e-24	2.126493272e-24	1	8.606002271e-21	0.7080784952	0.4415851134	1.863813036e-14
7	0.48192	None	None	2.770909659e-24	1.336810018e-24	2.126674176e-24	1	1.668377902e-20	0.7023488393	0.4414907441	1.740622318e-14
8	0.583988	None	None	3.188766246e-24	1.513344681e-24	2.304991112e-24	1	3.27197835e-18	0.5417308942	0.3556740688	9.796672634e-13
9	0.585056	None	None	3.174460582e-24	1.491401567e-24	2.301907147e-24	1	4.107124293e-18	0.5510823383	0.3570452717	1.084916172e-12
10	0.586068	None	None	3.187387576e-24	1.504626184e-24	2.305574317e-24	1	2.955282256e-18	0.5446110849	0.3554151747	1.167108968e-12
11	0.58578	None	None	3.183197648e-24	1.493589931e-24	2.308282538e-24	1	4.187138705e-18	0.5474243707	0.3542146659	9.928179149e-13
12	0.595332	None	None	5.03393743e-16	8.455680876e-16	2.299577713e-24	1	2.667093638e-16	0.5251962759	0.3590350261	2.58795954e-12
13	0.595484	None	None	5.313059178e-16	8.922253418e-16	2.311228211e-24	1	3.653551422e-16	0.4977321197	0.3540182574	2.865410908e-12
14	0.59628	None	None	5.144669563e-16	8.627942477e-16	2.309385477e-24	1	3.116214037e-16	0.5147104444	0.3547992494	2.87118523e-12
15	0.596248	None	None	5.101071072e-16	8.555284125e-16	2.317198473e-24	1	3.922372247e-16	0.5190817793	0.351590822	3.544411923e-12
16	0.564236	None	144.372093	1.907954831e-15	3.381483686e-15	2.138842401e-24	1	1.667769825e-15	0.5253187669	0.4376062301	1.534789463e-12
17	0.567412	None	130.0990753	2.519416444e-15	4.440188861e-15	2.141907993e-24	1	2.355855108e-15	0.5000791903	0.4375456488	1.902784267e-12
18	0.565488	None	None	1.925853643e-15	3.405648999e-15	2.142191259e-24	1	1.629430063e-15	0.5215912859	0.4360826982	1.652539478e-12
19	0.566892	None	303.7692308	2.455378045e-15	4.331297748e-15	2.144885376e-24	1	2.3383543e-15	0.5126514452	0.4360421231	1.965953902e-12
20	0.578	None	70.30612245	5.465791905e-14	9.456387378e-14	2.44650742e-24	1	4.668151644e-14	0.4930991633	0.437166612	3.640018938e-12
21	0.579912	117.3868797	68.33000713	7.9768853e-14	1.375533753e-13	2.67453648e-24	1	6.518725187e-14	0.4745875097	0.4370478541	4.331860131e-12
22	0.57844	None	48.56473552	5.184556232e-14	8.962997427e-14	2.433506656e-24	1	4.354599891e-14	0.4855601368	0.4356566185	3.639162687e-12
23	0.58072	267.2988506	85.91316025	7.196580131e-14	1.239251297e-13	2.664560039e-24	1	6.008601808e-14	0.4837763211	0.4355981139	4.688136322e-12
24	0.603372	65.89740082	88.32416503	6.539141451e-15	1.083766142e-14	3.318290988e-24	1	5.398157407e-15	0.4917177527	0.3500805298	9.398089662e-11
25	0.60272	82.4826606	None	7.983265994e-15	1.324539752e-14	3.480956705e-24	1	6.314679878e-15	0.4693893808	0.3515269149	8.977788607e-11
26	0.603112	51.68950749	61.0653951	8.370834164e-15	1.387940243e-14	3.894728675e-24	1	6.250498962e-15	0.447947883	0.3476412345	1.149748111e-10
