# rr	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc
0	0.386536	None	48.95070181	2.667744086e-24	1.551864569e-24	2.067892563e-24	1	1.287267267e-18	0.6303138742	0.4730234957	7.254043578e-14
1	0.424788	None	None	8.434333465e-15	1.985539484e-14	2.070602553e-24	1	1.128955804e-14	0.5591543426	0.471846751	3.297366241e-14
2	0.40184	None	682.1764706	2.7284836e-24	1.572484321e-24	2.0965965e-24	1	3.554482464e-18	0.6098585852	0.4574046855	4.453030862e-14
3	0.445124	None	None	3.546112113e-14	7.966571366e-14	2.100922506e-24	1	4.091329082e-14	0.5128455571	0.4561489185	2.806387186e-14
4	0.411136	None	515.4661654	3.163225496e-16	7.693866446e-16	2.068981393e-24	1	4.075561663e-16	0.5771990117	0.4724395761	4.428625272e-14
5	0.445704	None	None	5.658704322e-13	1.269610397e-12	2.108207334e-24	1	6.155184604e-13	0.4848004132	0.4713062056	3.339650188e-14
6	0.43454	None	None	2.486517354e-15	5.722182888e-15	2.09805682e-24	1	3.096316522e-15	0.5432584961	0.4566960551	2.73278199e-14
7	0.463688	None	None	1.492873401e-12	3.219564451e-12	2.289636811e-24	1	1.474706636e-12	0.4580806777	0.4552631801	6.591629853e-14
8	0.389344	None	70.44427935	2.672619901e-24	1.550313694e-24	2.069014566e-24	1	1.53347542e-18	0.6304611067	0.4724048363	5.562116005e-14
9	0.427692	None	None	1.037267624e-14	2.425267772e-14	2.071782583e-24	1	1.338379809e-14	0.5493280556	0.4712060892	2.772938052e-14
10	0.404244	None	None	2.732576657e-24	1.571652737e-24	2.097245468e-24	1	4.209905429e-18	0.6099055184	0.457056502	3.772262811e-14
11	0.445536	None	None	3.364505483e-14	7.551590631e-14	2.100617364e-24	1	3.977058496e-14	0.5292663605	0.4561780938	2.584672552e-14
12	0.41524	None	None	3.247559297e-16	7.820921096e-16	2.070010892e-24	1	5.874089595e-16	0.5678221342	0.471869841	3.655862099e-14
13	0.4493	None	None	7.082044003e-13	1.576239484e-12	2.117030655e-24	1	7.55988244e-13	0.4795209375	0.4706591402	3.235740341e-14
14	0.436604	None	None	3.217724709e-15	7.369892872e-15	2.098223829e-24	1	4.120007457e-15	0.5423149236	0.4566181503	2.452942929e-14
15	0.4666	None	None	1.532499657e-12	3.284397036e-12	2.297094472e-24	1	1.474587845e-12	0.4489031504	0.455651197	6.746744898e-14
16	0.42558	None	209.3260188	3.379749942e-16	7.941514923e-16	2.069243215e-24	1	5.21237626e-16	0.5591996176	0.4723071597	7.381907115e-14
17	0.45078	None	None	1.350028046e-13	2.994871213e-13	2.083634648e-24	1	1.543050855e-13	0.5145428462	0.4712366826	4.754371982e-14
18	0.442024	None	None	1.438962893e-15	3.255395387e-15	2.098826301e-24	1	1.952171036e-15	0.5456654659	0.4562764792	4.337383269e-14
19	0.467932	None	None	3.73403313e-13	7.979862736e-13	2.142202496e-24	1	3.728917908e-13	0.4674703671	0.4551520023	5.825855628e-14
20	0.44208	None	None	1.338699394e-13	3.028183573e-13	2.087536621e-24	1	1.583897816e-13	0.5235476783	0.4717778276	6.540093831e-14
21	0.461952	None	None	1.675008073e-12	3.625935321e-12	2.351310366e-24	1	1.658317428e-12	0.4573245143	0.4707645819	8.774143314e-14
22	0.463824	None	None	7.228614016e-13	1.5584821e-12	2.185171769e-24	1	7.129152021e-13	0.4573444775	0.4556439872	6.146532415e-14
23	0.483492	1142.176471	None	2.97214239e-12	6.147242126e-12	3.038853069e-24	1	2.488290874e-12	0.4047720574	0.4544800524	1.710099622e-13
24	0.427308	None	None	3.403214583e-16	7.964312772e-16	2.070295967e-24	1	6.330429597e-16	0.5575989084	0.4717203929	5.536452268e-14
25	0.451832	None	None	1.396740186e-13	3.091282127e-13	2.083277801e-24	1	1.510919188e-13	0.488439182	0.4706655003	4.083970864e-14
26	0.44422	None	None	1.834226854e-15	4.129095611e-15	2.098786064e-24	1	2.193153779e-15	0.5377560269	0.456310635	4.056328852e-14
27	0.467332	None	446.9636364	3.964128337e-13	8.482467147e-13	2.141669689e-24	1	3.923609093e-13	0.4628074058	0.4555915903	5.522410644e-14
28	0.444868	None	None	1.866039179e-13	4.194590708e-13	2.090739383e-24	1	2.132303005e-13	0.5081850306	0.4711864656	5.293386371e-14
