# rd	rr	action	self_coop	bc_min(AllD)	bc_max(AllC)	eq_coop	eq0	eq1	eq2	rho_alld_to_resident	rho_resident_to_alld	rho_allc_to_resident	rho_resident_to_allc	best_behavioral_mutant_action	behavioral_max_advantage_bc2	behavioral_resident_payoff_bc2	behavioral_mutant_payoff_bc2
155	139	10	0.844244	1.236757452	None	0.8025059448	0.9504996891	5.228522654e-05	0.04944802567	0.0007061246366	1.316456962e-15	0.1196010003	4.331388535e-05	11	0.00467755102	0.844522449	0.8492
155	163	10	0.839648	1.247295055	None	0.7987556857	0.9512350822	5.305144473e-05	0.04871186638	0.0007273003086	1.281752955e-15	0.1221264071	4.405550066e-05	11	0.005555102041	0.840044898	0.8456
155	131	10	0.827076	1.269645589	None	0.7910742481	0.956417301	4.445243269e-05	0.04353824655	0.0006818297158	6.063495751e-15	0.1265275453	3.691916428e-05	11	0.01066530612	0.8275346939	0.8382
155	170	10	0.855964	1.206467427	None	0.8185338546	0.9562059057	5.602274275e-05	0.04373807156	0.000855374034	1.442771615e-16	0.1162436246	4.593644227e-05	11	-0.0001673469388	0.8563673469	0.8562
155	202	10	0.84364	1.234147775	None	0.8027176775	0.9514301048	5.318393209e-05	0.04851671128	0.0007320494438	9.961360003e-16	0.1193540854	4.400149929e-05	11	0.003155102041	0.844044898	0.8472
155	138	10	0.8452	1.228036815	None	0.810550555	0.9589460573	4.934734937e-05	0.04100459532	0.0008036790105	5.74711583e-16	0.1197659934	4.052852255e-05	11	0.005342857143	0.8454571429	0.8508
155	162	10	0.840612	1.2412239	None	0.8053425578	0.9579813804	5.19137077e-05	0.04196670592	0.000826092144	5.99506969e-16	0.1222340039	4.281292649e-05	11	0.004987755102	0.8410122449	0.846
155	194	10	0.826472	1.263830767	None	0.7899157063	0.9557115925	4.683498504e-05	0.04424157252	0.0007069540014	4.64461298e-15	0.1258834073	3.889510654e-05	11	0.007391836735	0.8270081633	0.8344
155	130	10	0.82798	1.258984017	None	0.7979519854	0.9636824879	4.215906849e-05	0.036275353	0.0007761232357	2.733255938e-15	0.1266294902	3.475493859e-05	11	0.008971428571	0.8284285714	0.8374
155	233	10	0.811888	1.273372525	None	0.7952565952	0.9794901614	2.028707858e-05	0.02048955153	0.000661208435	7.48756099e-15	0.1518517515	1.697668171e-05	11	0.0014	0.8126	0.814
155	169	10	0.813772	1.265208866	None	0.7991487085	0.9820062451	1.952245543e-05	0.01797423244	0.0007253296196	4.533059072e-15	0.1524176691	1.630622046e-05	11	-0.001318367347	0.8145183673	0.8132
155	161	10	0.801104	1.297934844	39.29411765	0.7880052547	0.9836278021	1.708797168e-05	0.01635510992	0.000697731572	1.526637972e-14	0.158606229	1.435678746e-05	11	0.001457142857	0.8017428571	0.8032
155	232	10	0.813676	1.265558442	None	0.7997506988	0.9828619924	1.94842372e-05	0.01711852335	0.0007600959785	3.475131086e-15	0.1517182026	1.624626277e-05	11	-0.001902040816	0.8143020408	0.8124
155	168	10	0.815284	1.258270473	None	0.8033075924	0.9852877131	1.828453534e-05	0.01469400234	0.0008309887608	2.054241862e-15	0.1522746915	1.521872502e-05	11	-0.003195918367	0.8159959184	0.8128
155	224	10	0.801156	1.295259959	180.092437	0.7878527718	0.9833721832	1.824699762e-05	0.01660956985	0.0007336422882	1.15692581e-14	0.1584073214	1.533085956e-05	11	0.006493877551	0.8017061224	0.8082
155	160	10	0.80316	1.290799793	86.79141104	0.7923162769	0.9864785046	1.620115551e-05	0.0135052942	0.0008011120567	7.026322031e-15	0.1586445374	1.357300617e-05	11	-0.001408163265	0.8038081633	0.8024
154	238	10	0.837056	1.048234389	9.972751245	0.8284201416	0.9890017547	0.0005702888082	0.01042795646	0.03652136202	1.790927225e-26	0.1014595415	0.0004435830493	11	0.006106122449	0.8370938776	0.8432
89	68	13	0.84598	1.11420892	10.375	0.8306739227	0.9810817708	0.0006983662604	0.01821986292	0.02559702371	3.078755359e-24	0.09847695462	0.0005454665059	5	0.01056326531	0.8456367347	0.8562
154	174	10	0.835612	1.046556497	9.100946372	0.8270789543	0.9890988992	0.0005760449291	0.01032505585	0.03725763423	3.515789259e-26	0.1016242543	0.0004481122068	11	0.00707755102	0.835522449	0.8426
89	69	13	0.845168	1.118686071	11.08279165	0.8276304283	0.9784358503	0.000687757639	0.0208763921	0.02200043683	1.624532873e-23	0.09880311688	0.0005388624546	5	0.01283673469	0.8447632653	0.8576
154	206	10	0.823228	1.049467361	9.510811498	0.8145633636	0.9887881201	0.0005652971394	0.0106465828	0.03545829737	3.772542171e-25	0.1031843835	0.0004407815253	11	0.001191836735	0.8234081633	0.8246
89	76	13	0.833096	1.110224606	10.66616722	0.8174137514	0.9803127011	0.0007191613658	0.0189681375	0.02531937527	4.628259702e-23	0.0993728348	0.0005628066375	5	0.001273469388	0.8329265306	0.8342
154	142	10	0.820644	1.049936453	9.791163627	0.8122465567	0.9890881053	0.0005573376127	0.01035455708	0.03594497225	7.814237689e-25	0.1032232645	0.0004344653145	11	0.004763265306	0.8206367347	0.8254
89	77	13	0.831508	1.114109726	11.76459016	0.813765253	0.9778258723	0.0006952175628	0.02147891009	0.021615228	2.276940968e-22	0.09955947548	0.0005455849041	5	0.009424489796	0.8313755102	0.8408
154	250	10	0.832204	1.49474425	11.1414771	0.8046542574	0.9664256796	0.000390941149	0.03318337921	0.007867597014	3.530595291e-12	0.1078411191	0.0003137675138	11	-0.000106122449	0.8327061224	0.8326
154	186	10	0.832852	1.489173354	9.136645963	0.8094098216	0.9714239687	0.0003574264455	0.0282186049	0.008458677627	2.300976507e-12	0.1079696627	0.0002854400358	11	0.00546122449	0.8331387755	0.8386
154	234	10	0.8382	1.034832008	None	0.8368696273	0.9983069867	8.871108783e-05	0.001604302241	0.0369269162	2.95097881e-21	0.1153618634	6.959363378e-05	11	0.0088	0.8388	0.8476
154	170	10	0.83918	1.0344972	None	0.8379719275	0.9984654007	7.97325254e-05	0.001454866812	0.03659852722	3.327010326e-21	0.1156238716	6.256097193e-05	11	0.0102122449	0.8397877551	0.85
154	218	10	0.816328	1.512153308	13.61570681	0.7971482261	0.9760882409	0.0003400645967	0.0235716945	0.009634340121	1.649661801e-11	0.1105213094	0.0002711661501	11	-0.003767346939	0.8175673469	0.8138
