norm	N	avg	std_err	num_recoveries
L1	10	11.08187	0.0372973535784624	100000
L1	20	21.09839	0.0682909007888352	100000
L1	30	30.80175	0.09843380598918537	100000
L1	40	40.82682	0.13127053517987436	100000
L1	50	50.90003	0.16210026750427484	100000
L1	60	60.93747	0.19373779430797347	100000
L1	70	71.33842	0.22679909897825706	100000
L1	80	80.8182	0.25600107510146153	100000
L1	90	91.07786	0.2892854981487871	100000
L1	100	100.51539	0.32074875998068403	100000
L1	110	111.4696	0.3550367979092855	100000
L1	120	120.68109	0.3826725041684483	100000
L1	130	130.47565	0.41414861832627003	100000
L1	140	140.46192	0.4446334300162438	100000
L1	150	151.80647	0.48229057009579895	100000
L1	160	160.54251	0.5065113861176636	100000
L1	170	170.79394	0.5398777617875533	100000
L1	180	180.39489	0.5698703094920566	100000
L1	190	190.59397	0.6069699862612801	100000
L1	200	201.30172	0.6375627483730386	100000
L2	10	22.66065	0.1021740647678131	100000
L2	20	49.27859	0.23789343015088826	100000
L2	30	77.94003	0.3952515171047556	100000
L2	40	108.94748	0.5745582905056814	100000
L2	50	139.58173	0.7587171732072375	100000
L2	60	172.00076	0.9508261011861894	100000
L2	70	205.90234	1.1632478294328925	100000
L2	80	239.38638	1.3827852061886639	100000
L2	90	273.85625	1.6251303946909335	100000
L2	100	307.55294	1.8425483862355292	100000
L2	110	345.03813	2.097275404567142	100000
L2	120	377.69998	2.3207561442277576	100000
L2	130	416.52513	2.592477701869607	100000
L2	140	460.38355	2.8882635129184004	100000
L2	150	496.65698	3.164960759968312	100000
L2	160	525.60546	3.3648058739201403	100000
L2	170	559.76541	3.6013528403640316	100000
L2	180	605.7481	3.960980438114311	100000
L2	190	640.31216	4.186502109704556	100000
L2	200	676.04701	4.469772875359173	100000
L3	10	11.06384	0.03671810352856942	100000
L3	20	20.92918	0.06755863295657255	100000
L3	30	31.01035	0.0997850499791272	100000
L3	40	40.85676	0.13072153802732395	100000
L3	50	50.68564	0.16071886909586577	100000
L3	60	60.61486	0.1929279427239941	100000
L3	70	70.64495	0.22444047770012282	100000
L3	80	80.86706	0.25828638134464255	100000
L3	90	91.0234	0.2882455140659772	100000
L3	100	100.29698	0.3186339202039678	100000
L3	110	110.84584	0.35037863747500975	100000
L3	120	121.2828	0.38506703962797445	100000
L3	130	131.50819	0.41676416311015935	100000
L3	140	141.52811	0.4485247665881361	100000
L3	150	150.60862	0.47916902283690066	100000
L3	160	161.27064	0.511468098649435	100000
L3	170	170.91484	0.5444784350600185	100000
L3	180	180.82841	0.5721912039663442	100000
L3	190	190.0962	0.6015666080156228	100000
L3	200	200.79119	0.6348409466268873	100000
L4	10	11.17193	0.03787158886715728	100000
L4	20	20.97664	0.06805192468803839	100000
L4	30	30.62343	0.09849766021709795	100000
L4	40	41.05545	0.13098370936987225	100000
L4	50	50.86575	0.16224875197043453	100000
L4	60	61.23522	0.1952580655764	100000
L4	70	71.2187	0.2255693035814213	100000
L4	80	81.39473	0.25913685052756297	100000
L4	90	90.63934	0.28773334312937604	100000
L4	100	101.46012	0.32172176790638796	100000
L4	110	110.50409	0.35100398269917527	100000
L4	120	121.25617	0.38280549299842764	100000
L4	130	130.73644	0.4127030777684645	100000
L4	140	140.12013	0.4458278006272231	100000
L4	150	151.98291	0.4824797343373737	100000
L4	160	160.17205	0.5069202497132455	100000
L4	170	170.59575	0.5403359156565481	100000
L4	180	181.59001	0.5762196451638976	100000
L4	190	190.73894	0.6084826089442765	100000
L4	200	201.23138	0.6335726501167525	100000
L5	10	22.60587	0.10081535772289937	100000
L5	20	49.0729	0.23659377468993442	100000
L5	30	78.08311	0.3958888501929276	100000
L5	40	107.68393	0.5659154301662122	100000
L5	50	140.99246	0.7662765905530425	100000
L5	60	172.33359	0.9554420863521315	100000
L5	70	204.67115	1.1681421924742978	100000
L5	80	239.96914	1.3915568538803478	100000
L5	90	273.98384	1.6135474905758709	100000
L5	100	313.40457	1.876612542182723	100000
L5	110	345.83516	2.094087508845501	100000
L5	120	382.19941	2.3424209160212546	100000
L5	130	419.60703	2.5897777078606383	100000
L5	140	455.72338	2.8699922247921643	100000
L5	150	496.87456	3.1697101526594853	100000
L5	160	523.18079	3.3005948187730145	100000
L5	170	565.39338	3.6849016312681058	100000
L5	180	602.22064	3.906601436917756	100000
L5	190	639.79227	4.206708866320224	100000
L5	200	674.09585	4.464341905310911	100000
L6	10	19.30740518562954	0.09868724016843096	90018
L6	20	51.95670083543157	0.3192242448940589	94921
L6	30	90.06871224033766	0.6201829948494629	96664
L6	40	131.15304237148956	0.9856048354778904	97424
L6	50	172.93599436774923	1.3831674679503334	98007
L6	60	221.69111034244207	1.8604038937506517	98294
L6	70	266.3185705156166	2.3474338616555377	98581
L6	80	319.9653238298691	2.977887299538737	98771
L6	90	363.1868402960327	3.4972645908471254	98908
L6	100	418.8636033051173	4.153929721802165	98998
L6	110	474.4861116718479	4.953604420346856	99076
L6	120	518.3084898239102	5.435160956473065	99154
L6	130	586.9690685271255	6.339079693319332	99187
L6	140	636.7069132124092	6.900623495314101	99346
L6	150	697.0260639421964	7.9689270487142325	99371
L6	160	756.420515607076	8.70791433603016	99378
L6	170	804.49858727238	9.5037788226798	99453
L6	180	853.8316057227311	10.155866569650392	99463
L6	190	930.5394186700972	11.179445036551337	99496
L6	200	963.3116997969971	11.779377789885574	99506
L7	10	11.11451	0.0376378153012384	100000
L7	20	20.96474	0.06773447162937196	100000
L7	30	30.94928	0.0994277201465057	100000
L7	40	40.86311	0.1305933675863903	100000
L7	50	50.58682	0.16158416480984544	100000
L7	60	60.85352	0.19398203918511103	100000
L7	70	70.60787	0.22736934140029597	100000
L7	80	81.19866	0.2577995743756165	100000
L7	90	91.17356	0.2885180697911803	100000
L7	100	100.68015	0.3198410865460814	100000
